Arrival_time1,Burst_time1,Arrival_time2,Burst_time2,Arrival_time3,Burst_time3,Arrival_time4,Burst_time4,Arrival_time5,Burst_time5,Labels
10,13,10,15,0,9,1,14,0,9,SJF
9,18,4,15,4,4,10,1,9,10,SRTF
4,18,8,18,0,13,8,9,10,2,SRTF
5,20,3,9,4,10,2,11,1,16,SRTF
7,10,8,1,2,14,8,16,3,9,SRTF
8,2,8,8,5,13,2,6,4,13,SJF
6,5,6,8,3,16,6,15,8,3,SRTF
5,10,2,4,3,12,1,19,1,4,SJF
7,17,9,10,7,15,1,6,10,6,SRTF
6,5,3,18,7,7,10,4,0,17,SRTF
4,14,10,12,5,13,9,5,0,5,SRTF
7,11,6,1,8,18,6,10,5,19,FCFS
5,6,5,11,6,15,10,19,7,5,SJF
5,2,5,3,5,7,9,12,9,5,FCFS
2,2,8,13,4,2,2,17,4,11,SJF
5,10,1,10,9,7,0,1,3,13,SJF
5,10,7,7,0,8,2,3,9,3,SRTF
9,7,8,18,9,20,1,11,10,13,SJF
9,20,1,13,4,5,5,12,9,20,SRTF
3,13,1,13,8,7,1,12,4,16,SJF
6,8,5,19,1,18,7,7,0,1,SRTF
8,9,10,18,4,2,10,7,9,14,SJF
8,6,5,11,1,17,0,1,7,7,SRTF
3,9,4,10,7,16,6,7,8,9,SJF
10,6,2,7,0,15,6,17,1,18,SRTF
4,18,10,20,8,4,6,3,5,7,SRTF
6,13,0,5,10,8,5,18,7,15,SRTF
6,15,7,20,10,15,4,11,3,14,SRTF
10,4,10,6,0,19,2,14,3,7,SRTF
9,3,7,7,3,3,7,10,6,1,SRTF
2,18,1,12,7,19,2,7,6,14,SRTF
5,17,5,13,5,14,9,7,4,16,SRTF
2,2,0,20,4,14,7,6,9,2,SRTF
7,5,0,4,6,4,9,20,9,10,SJF
2,2,4,7,5,7,6,9,8,9,FCFS
1,11,6,17,9,11,5,1,3,16,SRTF
4,19,2,20,3,13,0,18,6,15,SRTF
1,4,9,17,0,9,7,20,4,6,SRTF
9,5,0,20,3,14,10,10,8,12,SRTF
9,16,9,20,0,13,8,8,5,4,SRTF
0,17,0,11,1,20,1,7,1,6,SRTF
4,18,3,4,2,9,2,11,8,17,SRTF
0,3,4,9,8,19,4,9,1,1,SRTF
7,9,9,7,2,5,8,13,6,15,SJF
1,1,3,10,0,10,6,5,6,6,SRTF
1,9,1,16,9,13,2,7,6,17,SRTF
8,8,2,13,5,19,3,14,5,19,FCFS
0,2,6,12,0,20,0,4,1,16,SJF
8,1,6,8,9,11,6,1,2,8,SRTF
7,8,10,1,4,10,0,6,2,2,SRTF
1,9,5,11,4,17,0,13,9,19,SRTF
10,19,1,20,9,3,7,14,0,20,SRTF
7,9,6,18,10,16,1,11,6,6,SJF
5,13,0,10,1,6,10,19,5,9,SRTF
0,6,4,11,3,16,2,9,10,13,SJF
2,10,9,12,5,17,2,13,8,19,FCFS
8,10,9,15,1,13,1,20,8,16,SJF
5,4,8,7,4,5,10,5,4,16,FCFS
6,4,7,9,0,8,0,2,7,12,SJF
1,11,1,10,0,12,9,15,1,2,SRTF
5,5,3,4,9,8,4,5,1,10,FCFS
7,14,9,10,3,17,5,13,6,1,SRTF
6,1,1,12,1,19,2,12,1,3,SRTF
0,7,4,4,10,5,1,5,6,17,SRTF
7,2,6,6,7,4,5,10,3,9,FCFS
1,17,8,8,9,17,7,6,3,12,SRTF
9,6,0,1,7,18,2,7,7,20,SJF
10,9,0,11,9,15,9,19,10,5,SJF
10,2,0,3,1,7,8,5,9,3,SJF
1,6,2,9,2,5,8,4,5,1,SRTF
10,13,9,19,6,9,2,7,6,8,SJF
8,11,1,17,9,10,9,6,6,17,SRTF
8,5,10,10,4,1,2,20,5,20,SRTF
9,1,3,14,8,1,4,12,1,2,SRTF
10,1,4,17,9,15,9,14,10,5,SRTF
7,13,7,11,6,5,9,12,4,1,SJF
4,12,0,8,7,10,6,11,2,1,SRTF
5,1,9,15,8,16,5,1,5,17,SJF
1,10,1,14,8,4,8,10,7,8,SJF
0,3,6,13,2,2,8,9,5,3,SJF
2,9,8,17,6,17,4,5,5,5,SRTF
7,2,3,19,4,17,8,7,8,12,SRTF
1,16,7,14,8,8,7,19,1,15,SJF
4,10,1,11,8,9,7,4,8,4,SRTF
2,17,9,19,5,19,5,16,8,1,SRTF
1,5,7,1,4,9,4,4,3,14,SRTF
2,8,2,18,7,8,10,11,1,14,SRTF
0,13,10,11,7,10,0,20,7,13,SJF
8,17,8,10,3,1,7,18,3,11,SJF
8,15,2,1,0,9,0,15,8,5,SRTF
5,11,2,8,3,14,6,3,9,1,SRTF
6,2,10,6,0,3,5,14,3,11,SRTF
10,14,1,2,1,16,0,7,9,3,SRTF
10,5,0,5,6,1,6,20,2,6,SRTF
2,9,5,14,7,1,0,12,6,10,SRTF
10,4,7,18,1,11,8,20,0,6,SRTF
10,11,2,4,0,6,2,18,7,4,SJF
0,11,0,18,5,9,3,9,6,12,SJF
9,17,8,18,8,17,3,1,1,1,SJF
1,5,1,14,1,5,10,14,7,12,SJF
2,7,3,20,5,8,2,4,9,20,SJF
0,20,6,18,9,3,2,11,4,17,SRTF
3,10,5,10,5,5,10,6,9,9,SRTF
8,4,1,15,9,2,7,11,2,20,SRTF
0,12,1,14,8,8,0,5,4,19,SRTF
4,15,6,4,5,4,5,10,8,2,SRTF
2,13,4,17,0,13,5,8,1,8,SRTF
10,20,2,14,3,13,6,16,8,14,SJF
8,5,10,17,5,20,1,16,9,4,SRTF
5,11,2,20,4,4,7,7,1,17,SRTF
0,17,4,10,7,11,3,2,2,13,SRTF
2,8,8,18,1,13,7,14,0,10,SJF
10,12,9,14,4,4,9,13,0,20,SRTF
1,14,3,6,7,17,3,15,10,16,SRTF
1,14,7,9,6,11,9,2,2,20,SRTF
6,18,2,6,7,6,1,18,5,15,SRTF
3,16,5,17,8,3,3,4,7,18,SRTF
3,1,9,16,0,10,2,7,9,16,SRTF
8,14,9,10,7,15,1,4,3,6,SJF
6,11,4,16,5,11,8,16,0,8,SJF
0,1,7,18,2,13,0,1,5,6,SRTF
5,12,2,17,8,1,7,8,1,18,SRTF
5,1,7,18,9,9,2,10,3,6,SRTF
10,14,2,13,3,4,9,6,5,7,SRTF
4,10,3,5,8,7,0,1,7,2,SJF
1,15,0,17,8,2,7,8,2,7,SRTF
2,20,10,11,5,17,10,6,2,14,SJF
6,20,10,7,3,17,10,1,5,4,SRTF
6,18,9,1,4,2,5,18,2,11,SRTF
4,10,7,17,3,19,2,15,3,15,SRTF
2,12,5,11,4,9,7,19,4,12,SRTF
2,1,5,11,1,19,6,17,6,3,SRTF
10,9,7,2,0,6,3,19,4,5,SRTF
3,19,1,20,3,2,9,18,8,8,SRTF
6,9,9,13,5,3,7,11,0,6,SJF
7,20,3,12,9,18,7,11,5,2,SRTF
5,2,3,7,1,6,1,12,1,15,FCFS
2,10,2,8,6,13,9,3,8,9,SJF
2,14,3,2,2,18,6,19,6,5,SRTF
6,5,0,14,1,4,2,8,3,16,SRTF
3,5,3,14,1,13,0,8,4,4,SJF
1,1,0,2,8,11,10,19,10,14,FCFS
2,12,3,5,2,15,7,19,2,8,SRTF
5,10,8,8,3,14,1,6,9,16,SRTF
2,11,4,10,10,16,4,12,3,2,SRTF
8,14,5,14,5,4,8,7,10,10,SJF
4,5,8,4,3,2,0,12,3,8,SRTF
9,17,5,4,2,5,9,7,8,5,SJF
9,5,3,7,5,10,6,14,2,12,FCFS
4,16,1,12,2,10,9,1,9,6,SRTF
4,10,3,17,1,4,6,19,1,1,SJF
5,20,9,2,4,9,10,20,3,8,SJF
8,10,5,4,10,18,0,7,10,19,SJF
0,19,8,12,3,13,2,4,2,17,SRTF
2,3,0,12,7,8,4,5,0,15,SRTF
5,2,8,13,0,16,6,18,0,17,SRTF
2,10,6,14,8,14,1,6,10,6,SRTF
9,9,0,16,4,10,5,9,4,11,SRTF
0,14,9,3,0,4,7,19,1,20,SRTF
4,2,9,20,7,3,5,5,7,1,SRTF
9,11,2,14,6,16,4,5,10,4,SRTF
5,5,5,14,8,14,9,4,4,20,SRTF
9,10,10,6,0,19,5,12,1,12,SRTF
2,7,1,14,9,20,10,11,0,2,SRTF
6,1,5,4,3,6,1,9,2,20,FCFS
10,10,2,17,10,13,5,10,8,18,SRTF
5,10,9,14,0,12,1,9,7,13,SRTF
8,3,3,5,8,2,0,20,9,16,FCFS
0,14,3,8,7,9,9,19,2,12,SRTF
0,12,4,9,3,7,0,11,2,12,SRTF
3,6,3,19,8,18,10,2,2,20,SRTF
9,10,10,4,5,11,2,4,8,12,SRTF
3,13,2,3,2,5,3,8,10,10,SJF
2,3,7,18,5,8,6,4,7,12,SRTF
2,6,2,2,9,1,6,10,5,5,SJF
0,15,7,8,0,12,7,4,3,1,SRTF
4,2,10,12,6,20,8,9,8,15,SRTF
0,18,8,1,5,3,10,5,8,6,SRTF
1,20,10,13,3,3,10,2,0,18,SRTF
6,4,2,17,0,10,0,10,1,10,SJF
1,9,0,9,1,11,7,18,10,6,SRTF
7,17,4,12,6,10,8,19,2,4,SJF
0,3,3,16,2,4,4,20,1,14,SJF
9,14,5,10,1,8,2,10,10,15,SJF
9,5,5,2,1,13,8,16,10,13,SRTF
4,11,6,18,6,8,5,11,10,18,SRTF
5,4,2,14,0,15,2,19,3,8,SRTF
2,2,6,5,3,16,8,19,8,7,SRTF
10,14,2,18,6,11,8,11,8,13,SRTF
7,6,8,19,9,13,3,2,6,1,SJF
3,17,5,8,10,9,6,10,0,2,SRTF
3,5,5,5,1,11,4,7,7,13,FCFS
10,14,7,8,9,19,1,2,3,4,SJF
1,18,4,19,9,11,5,6,0,17,SRTF
9,5,9,7,7,2,1,12,10,8,FCFS
1,3,9,17,6,2,4,20,2,4,SJF
3,8,0,16,2,10,9,5,2,9,SRTF
10,14,1,19,5,17,4,5,8,14,SRTF
1,3,8,2,8,14,2,6,9,17,SJF
4,2,7,7,9,16,8,2,2,10,SRTF
10,20,6,15,0,18,7,12,0,13,SJF
4,5,6,3,4,17,5,16,4,1,SRTF
0,12,3,8,6,3,6,3,5,6,SRTF
3,6,10,18,2,15,0,17,9,14,SRTF
0,9,5,8,7,7,1,14,2,20,SJF
6,14,3,2,1,15,10,16,0,12,SRTF
3,19,7,11,4,8,3,1,8,15,SJF
9,17,1,11,2,20,8,14,5,11,SJF
2,3,3,3,6,15,5,8,10,1,SRTF
0,17,3,4,0,6,9,9,8,7,SJF
0,12,0,19,9,14,9,2,1,5,SRTF
2,17,8,3,8,15,10,1,9,7,SRTF
10,17,3,8,5,8,0,9,3,14,SJF
10,5,9,10,4,11,9,16,4,12,FCFS
6,7,7,5,1,18,7,3,7,3,SRTF
5,14,2,16,7,13,7,17,1,7,SJF
6,20,5,1,4,5,4,10,5,2,SRTF
7,2,8,14,10,10,7,14,6,17,FCFS
5,12,4,11,10,3,4,9,1,5,SRTF
5,20,6,6,1,19,2,19,9,13,SRTF
4,17,8,6,0,15,6,3,4,15,SRTF
4,3,2,19,5,8,4,19,7,13,SRTF
4,12,4,2,4,16,1,6,6,1,SRTF
4,8,4,11,4,1,6,10,0,12,SRTF
10,7,4,9,3,12,5,14,5,20,FCFS
9,5,5,2,6,17,10,3,2,3,SRTF
4,20,8,18,1,12,9,12,5,7,SRTF
10,20,9,7,1,12,0,16,7,1,SRTF
2,18,7,2,6,8,6,12,1,5,SRTF
7,14,7,2,8,18,0,9,5,10,SJF
7,15,8,1,5,3,3,15,0,1,SRTF
5,1,4,5,8,3,7,8,1,13,FCFS
4,3,5,1,7,5,5,6,7,2,FCFS
2,12,0,19,7,18,6,17,8,14,SRTF
7,4,1,14,10,12,10,13,7,7,SRTF
8,9,6,15,9,13,3,18,4,13,FCFS
0,4,8,4,10,7,6,3,3,15,SRTF
1,20,2,4,0,16,6,12,3,4,SRTF
4,18,3,14,9,6,8,6,1,11,SJF
6,19,4,1,7,16,7,15,9,9,SRTF
1,1,7,4,10,3,6,11,0,2,SRTF
1,12,3,20,7,3,8,3,1,17,SRTF
8,20,0,3,5,16,5,3,8,9,RR
1,14,7,13,9,19,6,17,0,1,SJF
6,8,7,15,5,10,9,17,8,18,FCFS
7,13,8,4,5,15,0,20,7,13,FCFS
8,15,3,8,3,15,9,6,2,8,SJF
2,12,9,8,0,15,2,17,3,15,SRTF
4,5,4,17,1,13,9,19,1,3,SJF
5,18,7,14,9,12,0,10,8,17,SJF
2,13,5,11,3,16,7,11,4,13,SJF
7,6,5,2,0,7,3,7,1,15,SJF
5,19,7,1,1,12,9,8,5,12,SRTF
5,12,3,5,8,10,10,7,7,12,SRTF
2,5,9,12,4,19,4,13,6,12,SJF
3,16,1,20,7,6,6,6,9,17,SRTF
5,5,2,18,7,6,9,8,5,17,SRTF
9,19,4,3,8,8,4,2,8,20,SJF
6,18,4,6,3,19,1,13,0,18,SRTF
1,15,0,3,8,20,7,5,2,12,SRTF
2,8,1,4,5,12,3,16,8,15,SJF
9,4,10,12,2,18,5,5,9,4,SRTF
8,3,10,15,3,13,3,9,3,1,SRTF
6,14,2,9,10,18,8,13,9,16,SJF
8,1,1,1,8,3,1,13,9,12,FCFS
1,17,6,9,2,3,7,4,5,3,SRTF
2,14,4,12,6,12,7,20,10,4,SRTF
3,7,7,17,8,7,7,16,3,12,SJF
8,8,9,6,6,10,9,2,3,12,FCFS
1,19,8,16,0,13,7,17,6,17,SJF
8,5,9,2,10,3,0,4,10,15,SRTF
5,13,9,15,5,12,6,13,7,7,SRTF
4,11,1,5,1,11,3,8,6,15,SJF
2,14,6,5,6,2,1,19,10,4,SRTF
9,8,2,5,8,20,1,13,3,14,SRTF
4,10,0,11,6,7,7,13,5,20,SJF
1,14,7,9,8,3,2,3,1,9,SRTF
9,19,10,20,0,7,2,3,8,14,SRTF
3,11,0,1,10,17,3,6,8,4,SJF
10,17,3,15,0,8,4,13,8,17,SJF
1,16,2,10,10,9,4,17,5,6,SRTF
4,13,2,10,7,17,1,6,6,7,SJF
2,8,0,17,6,8,5,17,3,16,SRTF
0,10,2,14,10,11,0,12,8,1,SRTF
4,19,10,11,10,1,3,6,4,11,SRTF
3,3,0,13,4,1,9,4,8,15,SRTF
4,2,8,1,3,19,6,12,9,7,SRTF
5,20,7,1,2,19,8,15,3,4,SRTF
6,11,3,14,2,17,9,19,1,10,SJF
5,13,5,7,10,18,8,16,9,11,SJF
8,10,2,9,0,15,6,1,3,2,SRTF
10,14,10,4,3,17,4,18,9,19,FCFS
0,4,6,17,9,19,7,19,0,18,SJF
7,4,9,16,9,4,2,10,6,15,SRTF
4,19,3,18,0,17,9,17,3,6,SRTF
10,6,10,2,6,10,6,11,6,15,FCFS
9,3,7,4,0,20,4,19,1,11,SRTF
5,18,8,11,0,8,6,13,0,20,SJF
9,17,10,20,6,13,5,18,4,5,SJF
2,5,4,2,1,13,4,2,8,19,SRTF
2,4,0,3,3,20,6,3,5,9,SJF
10,9,3,9,10,15,0,11,9,4,SJF
2,12,1,7,9,11,9,2,5,1,SRTF
7,10,1,20,9,18,10,16,5,15,SRTF
9,3,6,3,0,19,8,16,9,12,SRTF
5,12,3,2,6,5,3,19,4,3,SJF
5,1,2,7,4,18,3,16,10,14,SRTF
8,16,10,7,4,10,5,18,10,17,SJF
10,17,2,19,2,14,7,11,0,3,SJF
4,3,3,16,1,13,5,2,1,11,SRTF
9,5,0,3,4,15,1,4,10,3,SRTF
8,4,9,17,1,17,3,10,3,12,SRTF
1,10,8,3,3,8,8,9,7,3,SRTF
9,5,6,3,6,8,7,16,9,20,FCFS
0,8,6,12,7,20,2,12,6,4,SJF
0,16,3,5,6,19,9,11,5,19,SRTF
1,10,0,9,8,3,9,12,6,18,SJF
7,16,10,9,8,10,10,13,8,2,SRTF
9,16,0,5,3,19,1,3,2,6,SRTF
4,16,0,18,2,2,1,10,1,8,SRTF
4,17,1,7,2,15,0,5,6,2,SRTF
9,7,3,14,5,2,2,19,6,3,SRTF
0,7,4,8,4,11,6,1,9,12,SJF
1,4,3,9,7,20,6,2,3,9,SRTF
4,2,0,20,6,13,1,9,6,8,SRTF
3,1,5,18,10,4,1,2,6,16,SRTF
8,7,0,11,3,4,6,6,5,17,SRTF
3,10,4,4,7,14,3,5,7,12,SJF
4,8,7,16,2,7,1,4,0,11,SRTF
2,10,9,19,6,17,0,2,7,17,SJF
9,3,4,7,2,5,9,12,5,2,SJF
7,16,2,15,8,9,1,4,7,10,SRTF
9,13,10,20,6,18,9,15,8,14,FCFS
9,10,10,9,9,9,9,20,10,16,FCFS
3,14,1,1,9,17,9,1,1,6,SRTF
8,8,2,14,5,6,10,14,1,14,SRTF
9,3,3,14,1,8,0,6,5,16,SRTF
5,12,8,15,4,9,6,13,8,15,FCFS
0,2,10,15,1,10,9,10,10,16,SJF
5,5,10,20,0,14,0,4,5,15,SRTF
10,11,0,2,2,12,8,11,9,19,SJF
2,11,4,12,1,11,4,13,6,4,SRTF
6,5,4,19,10,6,10,14,0,16,SRTF
4,19,4,5,8,2,10,6,10,19,SJF
8,16,8,18,6,14,1,14,5,15,SJF
6,9,1,3,4,5,1,4,3,2,SJF
4,10,4,1,0,19,1,20,3,4,SRTF
3,2,1,19,4,8,7,3,7,8,SRTF
9,11,8,2,10,18,6,13,6,1,SRTF
1,18,5,18,0,7,9,7,0,20,SRTF
6,4,8,1,9,19,5,17,4,17,FCFS
2,6,5,8,3,8,2,8,7,14,FCFS
9,4,7,15,6,7,10,12,7,9,FCFS
7,19,9,20,0,8,3,8,7,10,SJF
1,12,5,15,4,9,9,16,3,9,SRTF
8,14,5,14,10,3,4,1,9,10,SRTF
3,18,9,13,0,20,0,5,9,13,SRTF
4,10,9,10,7,16,3,18,9,8,SRTF
8,12,0,2,5,10,1,10,6,8,SJF
0,3,10,16,10,17,8,3,4,18,SRTF
1,6,9,11,7,5,9,7,4,2,SRTF
3,2,9,9,7,8,2,12,2,10,FCFS
8,9,4,12,4,12,3,6,10,17,SJF
1,6,2,8,0,15,0,18,4,3,SRTF
7,4,9,11,9,18,7,1,1,19,SRTF
10,9,6,13,6,5,7,9,0,5,SJF
4,6,2,8,3,5,0,5,0,8,SJF
8,8,5,7,7,16,2,11,7,13,SRTF
7,2,7,11,7,19,4,19,6,18,FCFS
7,1,7,4,5,6,9,17,7,10,FCFS
0,14,4,12,10,9,9,12,4,3,SRTF
10,14,6,8,10,17,3,20,3,15,SRTF
6,11,9,2,5,7,5,3,0,20,SRTF
5,17,1,8,10,6,4,2,8,14,SRTF
10,19,0,13,6,14,9,6,7,13,SJF
7,9,9,9,6,10,1,12,1,2,SJF
5,9,0,15,7,17,10,13,0,2,SRTF
1,10,2,10,6,10,9,14,8,19,FCFS
3,15,6,15,0,11,3,10,0,15,SJF
3,12,8,4,2,11,7,16,0,15,SRTF
7,6,3,11,7,20,1,10,10,15,SJF
10,19,1,10,8,8,3,4,3,11,SRTF
9,5,2,10,9,9,3,6,7,2,SRTF
9,9,8,16,5,13,2,3,1,15,SRTF
9,9,10,12,6,10,4,5,10,16,SJF
8,16,10,15,7,1,0,18,5,3,SRTF
7,7,10,12,1,18,7,19,2,17,FCFS
5,14,9,20,6,4,10,7,3,10,SRTF
10,1,6,10,5,11,8,1,6,14,SRTF
7,9,4,4,10,12,7,8,4,10,FCFS
2,14,4,20,8,15,5,16,4,11,SRTF
10,14,8,9,5,11,8,18,7,4,SRTF
10,13,5,16,8,19,9,11,9,2,SRTF
10,6,4,12,5,10,6,3,2,6,SJF
9,18,9,12,9,13,8,13,0,19,SJF
8,7,8,20,10,19,3,2,10,9,RR
6,5,4,20,6,9,0,8,2,6,SJF
7,1,7,14,7,1,1,12,10,1,SRTF
6,17,4,20,3,12,8,14,2,18,SRTF
8,16,8,6,10,11,10,20,9,7,SJF
7,8,7,16,8,18,2,16,4,3,SRTF
7,19,5,2,0,5,3,9,9,13,SJF
0,17,9,11,7,18,0,17,4,18,SJF
4,14,7,20,0,19,10,13,6,5,SRTF
0,1,3,18,7,18,8,16,7,9,SRTF
7,12,9,14,4,7,8,11,2,8,SJF
4,13,2,20,3,16,8,8,10,5,SRTF
8,8,5,4,1,8,8,5,5,13,SJF
4,19,1,20,5,13,10,1,7,9,SRTF
1,3,4,5,4,19,4,10,3,10,SJF
9,4,1,2,0,12,4,7,6,9,SRTF
1,2,2,8,6,6,9,1,8,3,SRTF
6,15,2,1,4,5,1,13,9,19,SRTF
9,20,4,4,3,18,10,18,5,1,SRTF
8,12,3,5,6,9,7,5,4,19,SJF
3,17,5,9,2,17,2,20,0,14,SJF
10,10,3,10,0,17,9,9,9,16,SRTF
9,14,4,3,2,8,6,2,5,5,SRTF
7,15,6,5,10,18,1,3,6,11,SJF
2,10,6,16,4,13,9,11,4,14,SJF
5,18,0,19,4,7,5,2,1,6,SRTF
3,10,1,18,4,8,3,13,10,2,SRTF
7,16,5,17,8,8,8,9,3,5,SJF
0,17,5,3,4,15,5,9,9,1,SRTF
2,2,3,4,7,6,8,13,9,9,FCFS
9,3,6,13,4,1,5,14,2,10,SRTF
3,7,8,5,6,13,5,17,8,10,FCFS
2,9,2,8,6,19,2,11,9,20,SJF
1,7,7,13,6,3,4,14,2,5,SRTF
5,13,6,14,8,1,9,9,1,11,SRTF
9,2,9,8,3,8,10,15,5,16,FCFS
5,12,10,18,10,13,0,5,0,8,SJF
1,13,0,16,0,1,5,13,4,15,SJF
4,15,9,15,2,17,3,7,3,19,SRTF
2,17,5,19,7,4,3,14,0,9,SJF
0,19,1,20,10,1,5,15,6,3,SRTF
3,6,8,5,3,5,9,1,7,8,SRTF
5,17,4,5,6,15,4,19,4,6,SJF
0,1,0,19,3,16,0,15,9,7,SJF
2,7,1,11,1,6,10,8,6,20,SJF
10,4,6,13,9,5,7,17,2,20,FCFS
2,5,4,14,10,15,5,12,8,2,SRTF
0,18,5,7,6,11,8,4,2,18,SRTF
8,13,7,17,3,10,0,15,0,18,SRTF
0,14,9,12,4,11,3,17,8,13,SJF
0,1,5,10,0,2,8,15,4,2,SJF
0,5,10,16,4,4,7,8,10,1,SRTF
4,19,0,3,9,5,9,3,7,6,SRTF
7,2,10,1,3,1,6,17,7,18,FCFS
10,3,8,1,4,17,8,3,3,3,SRTF
5,17,1,3,2,15,6,4,0,15,SRTF
7,5,9,19,8,10,1,12,7,12,SRTF
10,10,5,2,5,10,9,15,6,3,SJF
1,17,10,1,1,16,3,18,3,8,SRTF
10,15,1,4,2,20,7,17,5,18,SJF
5,6,3,5,3,14,2,5,7,11,SJF
4,5,7,5,5,12,8,15,4,9,FCFS
7,8,0,9,0,19,9,7,9,13,SJF
1,19,0,4,9,17,1,5,2,15,SJF
10,13,7,17,2,19,0,5,2,15,SJF
3,1,6,17,8,19,9,13,3,11,SJF
2,10,0,10,0,20,5,3,0,5,SJF
7,2,7,20,4,11,6,18,5,14,SRTF
6,5,10,4,3,19,5,4,4,19,SRTF
5,11,0,12,1,3,2,7,5,17,SRTF
9,8,9,18,6,3,7,6,5,4,SJF
10,2,7,13,3,17,10,4,9,10,SRTF
4,7,0,5,10,18,4,2,7,9,SJF
8,19,10,12,8,12,3,5,5,18,SJF
9,1,3,8,3,7,9,4,4,2,SRTF
6,19,9,11,3,20,5,2,6,1,SRTF
3,4,8,15,5,3,6,1,1,7,SRTF
9,5,9,16,3,11,9,1,1,7,SRTF
6,11,2,9,10,2,7,15,0,15,SRTF
10,14,6,11,10,2,10,16,0,18,SRTF
8,5,10,19,1,8,0,18,4,14,SRTF
2,14,5,15,9,5,5,12,7,14,SRTF
6,19,1,13,1,4,1,18,2,10,SJF
5,20,4,2,9,18,8,15,6,18,SRTF
9,14,0,2,10,10,5,19,1,7,SRTF
5,14,8,8,8,17,1,7,5,8,SJF
2,1,4,3,5,10,2,19,8,2,SRTF
7,3,4,15,9,18,0,20,1,18,FCFS
8,19,5,13,9,3,5,14,6,12,SRTF
1,5,2,11,1,17,9,9,8,5,SRTF
6,4,1,8,2,17,1,13,10,20,SJF
3,12,2,14,8,16,6,20,2,13,SJF
0,19,1,19,2,18,5,12,5,4,SRTF
3,10,2,12,1,15,1,18,10,14,FCFS
8,10,6,4,0,18,0,11,3,15,SRTF
5,8,10,11,4,14,3,10,10,20,FCFS
3,3,2,6,0,3,5,13,2,3,SJF
5,11,0,11,8,5,9,17,7,18,SJF
7,8,4,15,4,3,7,17,1,6,SJF
3,12,0,7,8,17,1,14,10,11,SJF
7,19,9,17,6,8,2,2,3,8,SJF
7,2,10,3,3,9,8,11,7,16,FCFS
4,20,5,7,1,13,7,7,3,16,SRTF
10,7,1,5,5,15,8,2,5,10,SRTF
6,4,4,19,6,1,10,5,5,16,SRTF
4,13,5,4,4,17,1,2,2,4,SJF
8,12,7,20,6,1,4,12,7,16,SRTF
0,7,5,18,5,10,4,9,7,19,SJF
1,14,10,7,0,13,9,18,7,18,SJF
5,2,4,19,10,8,0,20,3,18,SRTF
10,4,1,9,4,19,3,13,2,16,SJF
2,4,0,11,0,11,0,3,1,14,SJF
